"Locale","Image","Title","ASIN","Monthly Sales Trends: Bought in past month","Buy Box: Buy Box Seller","Last Price Change","Sales Rank: 30 days drop %","Buy Box: % Top Seller 90 days","Buy Box: Current","Buy Box: 90 days avg.","New, 3rd Party FBA: Current","Amazon: Current","Buy Box: Stock","Sales Rank: Drops last 90 days","Sales Rank: Subcategory Sales Ranks","Sales Rank: 90 days drop %","Sales Rank: 30 days avg.","Sales Rank: Current","Sales Rank: 90 days avg.","Buy Box: 90 days drop %","Buy Box: 30 days drop %","Buy Box: 90 days OOS","Buy Box: Strikethrough Price","Monthly Sales Trends: 90 days change % monthly sold","Reviews: Rating Count","New, 3rd Party FBM: Stock","Reviews: Rating Count - 90 days drop %","Reviews: Review Count - Format Specific","Buy Box: Shipping Country","Reviews: Rating","Sales Rank: Display Group","Buy Box: % Amazon 90 days","New, 3rd Party FBA: Stock","Buy Box: Winner Count 90 days","New, 3rd Party FBA: 90 days avg.","Buy Box: Standard Deviation 90 days","Buy Box: Flipability 90 days","Buy Box: Is FBA","Buy Box: Unqualified","Buy Box: Prime Eligible","Amazon: Stock","Amazon: 90 days OOS","New, 3rd Party FBA: 30 days avg.","New, 3rd Party FBA: 90 days drop %","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","Total Offer Count","New, 3rd Party FBM: Current","New, 3rd Party FBM: 90 days avg.","New, 3rd Party FBM: 90 days drop %","New Offer Count: Current","New, Prime exclusive: Current","New, Prime exclusive: 30 days avg.","New, Prime exclusive: 90 days avg.","New, Prime exclusive: 90 days drop %","Lightning Deals: Current","Used: Current","Used: 90 days avg.","Used: 90 days drop %","Used: 90 days OOS","Used, like new: Current","Used, like new: 90 days avg.","Used, like new: 90 days drop %","Used, very good: Current","Used, very good: 90 days avg.","Used, very good: 90 days drop %","Used, good: Current","Used, good: 90 days avg.","Used, good: 90 days drop %","Used, acceptable: Current","Used, acceptable: 90 days avg.","Used, acceptable: 90 days drop %","Warehouse Deals: Current","Warehouse Deals: 90 days avg.","Warehouse Deals: 90 days drop %","List Price: Current","List Price: 30 days avg.","List Price: 90 days avg.","List Price: 90 days drop %","New Offer Count: 30 days avg.","New Offer Count: 90 days avg.","Used Offer Count: Current","Used Offer Count: 90 days avg.","Tracking since","Listed since","Categories: Root","Categories: Sub","Categories: Tree","Website Display Group: Name","Website Display Group: Identifier","Product Codes: EAN","Product Codes: GTIN","Product Codes: UPC","Product Codes: PartNumber","Parent ASIN","Type","Manufacturer","Brand","Brand Store Name","Brand Store URL Name","Model","Variation Attributes","Color","Size","Unit Details: Unit Value","Unit Details: Unit Type","Scent","Item Form","Pattern","Style","Material","Item Type","Target Audience","Recommended Uses","Specific Uses","Product Benefit","Edition","Format","Author","Contributors","Binding","Number of Items","Number of Pages","Publication Date","Release Date","Languages","Package: Dimension (cm³)","Package: Weight (g)","Package: Quantity","Item: Dimension (cm³)","Item: Weight (g)","Included Components","Ingredients","Active Ingredients","Special Ingredients","Safety Warning","Batteries Required","Batteries Included","Hazardous Materials","Is HazMat","Is heat sensitive","Adult Product","Is Merch on Demand","Trade-In Eligible","Deals: Deal Type","Deals: Badge","Buy Box: Subscribe & Save","One Time Coupon: Absolute","One Time Coupon: Percentage","One Time Coupon: Subscribe & Save %","Business Discount: Percentage"
"co.uk","https://m.media-amazon.com/images/I/71+yxrcnGgL.jpg;https://m.media-amazon.com/images/I/51IXeqgPOmL.jpg;https://m.media-amazon.com/images/I/51T+UM3hSRL.jpg;https://m.media-amazon.com/images/I/61xz8FVI-0L.jpg","Philips LED Frosted A60 Light Bulb 2 Pack [Warm White 2700K - E27 Edison Screw] 40W, Non Dimmable. for Home Indoor Lighting, Value Range","B09ZBJZRCY","700","Amazon","2026/07/12 20:24","43 %","79 %","3.99","3.99","11.00","3.99","","77","# 3 | Top 0.01% | LED Bulbs","79 %","40","23","112","0 %","0 %","22 %","-","-77 %","464","","-8 %","22","","4.6","lighting_display_on_website","79 %","4","1","11.00","-","4","no","yes","yes","","0 %","11.00","0 %","2.71","13.03 %","0.52","2","","14.04","","2","","","","","","","","","100 %","","","","","","","","","","","","","","","","3.99","3.99","3.99","0 %","1","2","","","2022/07/30","2022/07/07","Lighting","LED Bulbs","Lighting › Light Bulbs › LED Bulbs","Home","home_display_on_website","8719514459472","","","929003540252","B0BJR5CZ2K","LIGHT_BULB","Signify","PHILIPS","PHILIPS","Philips","929003540252","Style: 40W A60; Size: Pack of 2;","Hot White","Pack of 2","2","count","","","Warm White","40W A60","Kunststoff","","","","House","","","","","","","2","","","","","733","60","1","4","30","","","","","","no","no","","no","no","no","no","no","","","no","-","","",""
"co.uk","https://m.media-amazon.com/images/I/71--FpGRTGL.jpg;https://m.media-amazon.com/images/I/51-1PAKKS6L.jpg;https://m.media-amazon.com/images/I/51uHwUmeqBL.jpg;https://m.media-amazon.com/images/I/71L4TLobtbL.jpg","Philips LED Frosted A67 Light Bulb 6 Pack [Warm White 2700K - E27 Edison Screw] 100W, Non Dimmable. for Home Indoor Lighting, Value Range","B09ZBKRMG1","","Amazon","2026/07/24 01:10","44 %","100 %","14.92","16.20","","14.92","1000","75","# 3 | Top 0.01% | LED Bulbs","79 %","41","23","112","8 %","4 %","0 %","16.99","","346","","","85","","4.5","lighting_display_on_website","100 %","359","1","33.30","0.97","44","yes","no","yes","1000","0 %","32.94","","3.11","13 %","1.94","2","","22.36","","2","","","","","","","9.26","","37 %","","9.18","","","","","","","","","","","","9.18","","16.99","16.99","16.99","0 %","3","3","","1","2022/08/09","2022/07/01","Lighting","LED Bulbs","Lighting › Light Bulbs › LED Bulbs","Home","home_display_on_website","8719514451414","","","929002306876","B0BJR5CZ2K","LIGHT_BULB","Signify","PHILIPS","PHILIPS","Philips","LED 100W A67 E27 WW FR ND 6CT/6 AM","Style: 100W; Size: Pack of 6;","Value Range","Pack of 6","6","count","","","Warm White","100W","Plastic","","","","Glass LED","","","","","","","3","","","2022-07-01","","3242","270","1","432000","50","","","","","","no","no","","no","no","no","no","no","","","no","-","","",""
"co.uk","https://m.media-amazon.com/images/I/61ykuf8qhXL.jpg;https://m.media-amazon.com/images/I/518i8-ifxSL.jpg;https://m.media-amazon.com/images/I/51AaDqcRU3L.jpg;https://m.media-amazon.com/images/I/71d9wKp4HYL.jpg","Philips LED Frosted A60 Light Bulb 3 Pack [Warm White 2700K - E27 Edison Screw] 60W, Non Dimmable. for Home Indoor Lighting","B09ZBJ4L85","","Amazon","2026/07/27 06:28","44 %","100 %","7.90","7.68","","7.90","1000","80","# 3 | Top 0.01% | LED Bulbs","80 %","41","23","113","-3 %","-1 %","0 %","-","","387","","","47","","4.6","lighting_display_on_website","100 %","742","1","","0.42","34","yes","no","yes","1000","0 %","","","2.74","12.95 %","1.02","3","","17.47","","2","","","","","","7.69","7.69","0 %","98 %","","","","","","","","","","","","","","","","7.99","7.99","7.99","0 %","2","2","1","1","2022/09/06","2022/07/01","Lighting","LED Bulbs","Lighting › Light Bulbs › LED Bulbs","Home","home_display_on_website","8719514452381","","","929001243033","B0BJR5CZ2K","LIGHT_BULB","Signify","PHILIPS","PHILIPS","Philips","LEDClassic 60W A60 E27 WW FRND 3CT/4 AM","Style: 60W A60 Glass; Size: Pack of 3;","Warm White","Pack of 3","3","count","","","60W equivalent","60W A60 Glass","Plastic","","","","Haus","","","","","","","1","","","2022-07-01","","3042","160","1","382","40","","","","","","no","no","","no","no","no","no","no","","","no","-","","",""
"co.uk","https://m.media-amazon.com/images/I/61gHRto1YDL.jpg;https://m.media-amazon.com/images/I/61dWLelTiBL.jpg;https://m.media-amazon.com/images/I/71Nc1ubI5ML.jpg;https://m.media-amazon.com/images/I/81zl+zKIxDL.jpg;https://m.media-amazon.com/images/I/81nw54gNinL.jpg;https://m.media-amazon.com/images/I/818lUwVtZbL.jpg;https://m.media-amazon.com/images/I/81Xe8xpYZNL.jpg;https://m.media-amazon.com/images/I/81CWVOPxifL.jpg;https://m.media-amazon.com/images/I/81vac7RX0oL.jpg","Philips Handheld Garment Steamer 3000 Series, 20 g/min, No Burns Guaranteed","B08ZSZL3Y5","6000","Amazon","2026/07/27 16:32","47 %","78 %","29.99","34.38","70.00","29.99","1","117","# 30 | Top 0.01% | Home & Kitchen; # 3 | Top 0.04% | Travel Steam Generators","97 %","57","30","883","13 %","15 %","1 %","49.99","-124 %","2813","0","-28 %","262","","4.2","kitchen_display_on_website","78 %","3","5","59.03","6.99","73","yes","no","yes","1","1 %","64.24","-19 %","3.31","15.01 %","4.50","14","61.99","54.21","-14 %","3","","","27.21","","","24.29","27.70","12 %","44 %","29.69","30.40","2 %","29.09","29.96","3 %","28.49","28.14","-1 %","24.29","24.29","0 %","24.29","27.69","29 %","49.99","49.99","49.99","0 %","4","3","11","4","2021/04/20","2021/03/29","Home & Garden","Travel Steam Generators","Home & Garden › Home & Garden › Home & Kitchen › Kitchen & Home Appliances › Irons, Steamers & Accessories › Travel Steam Generators","Kitchen","kitchen_display_on_website","8710103983910","","","8710103983910","B0H5CSV372","GARMENT_STEAMER","Philips","PHILIPS","PHILIPS","Philips","STH3020/16","Style: Foldable - 120 ml Water Tank; Color: White;","White","Foldable - 120 ml Water Tank","","","","","","Foldable - 120 ml Water Tank","Silk","","","","","Easy and quick touch-up, time-saving, fabric refreshing, and wrinkle removal","","","","","","1","","","","English: Manual","4007","1000","1","3438","","","","","","","no","no","","no","no","no","no","no","","","no","-","","",""
"co.uk","https://m.media-amazon.com/images/I/61SC8E2C+zL.jpg;https://m.media-amazon.com/images/I/61Pso2heKSL.jpg;https://m.media-amazon.com/images/I/71X5FUArwuL.jpg;https://m.media-amazon.com/images/I/81uJu-Ui7ZL.jpg;https://m.media-amazon.com/images/I/919Znz9fB5L.jpg;https://m.media-amazon.com/images/I/81PnssFfUaL.jpg;https://m.media-amazon.com/images/I/81sl7reyW0L.jpg;https://m.media-amazon.com/images/I/81xz4+e6iXL.jpg;https://m.media-amazon.com/images/I/81P73wgQKkL.jpg","Philips Handheld Garment Steamer 3000 Series, 20 g/min, Great for Travel","B0CCPHQJ5X","4000","Amazon","2026/07/27 11:48","48 %","80 %","21.99","28.46","34.89","21.99","1","136","# 30 | Top 0.01% | Home & Kitchen; # 1 | Top 0.01% | Vertical Steamers","97 %","58","30","889","23 %","5 %","1 %","37.99","-65 %","2813","0","-43 %","288","","4.2","kitchen_display_on_website","80 %","208","10","35.89","6.91","73","yes","no","yes","1","0 %","34.28","3 %","3.02","15.01 %","3.30","21","","35.19","","13","","","21.99","","","20.89","27.25","23 %","9 %","21.11","27.74","24 %","20.89","24.55","15 %","","24.43","","","","","20.89","25.06","26 %","37.99","37.99","37.99","0 %","10","7","8","3","2023/07/24","2023/07/24","Home & Garden","Vertical Steamers","Home & Garden › Home & Garden › Home & Kitchen › Kitchen & Home Appliances › Irons, Steamers & Accessories › Vertical Steamers","Kitchen","kitchen_display_on_website","8720389014369","","","STH3000/26","B0H5CSV372","GARMENT_STEAMER","Philips","PHILIPS","PHILIPS","Philips","STH3000/26","Style: Foldable - 100 ml Water Tank; Color: Blue;","Blue","Foldable - 100 ml Water Tank","","","","","","Foldable - 100 ml Water Tank","Plastic Plate","","","","","Remove Wrinkle, Sanitize","","","","","","1","","","","","2815","890","1","3438","","","","","","","no","no","","no","no","no","no","no","","","no","-","","",""
"co.uk","https://m.media-amazon.com/images/I/61hfKbI08zL.jpg;https://m.media-amazon.com/images/I/61RQh3Yx1nL.jpg;https://m.media-amazon.com/images/I/715sVDectjL.jpg;https://m.media-amazon.com/images/I/81DXqQZmqSL.jpg;https://m.media-amazon.com/images/I/81unqJMMcZL.jpg;https://m.media-amazon.com/images/I/81yF+PYTOcL.jpg;https://m.media-amazon.com/images/I/81pTjVXVSzL.jpg;https://m.media-amazon.com/images/I/81IY-hFKcrL.jpg;https://m.media-amazon.com/images/I/81T505TofPL.jpg","Philips Handheld Garment Steamer 3000 Series, 20 g/min, No Burns Guaranteed","B0CX22YJVW","100","Amazon","2026/07/09 13:32","46 %","90 %","49.99","44.10","","49.99","1","91","# 30 | Top 0.01% | Home & Kitchen; # 1 | Top 0.01% | Vertical Steamers","99 %","56","30","30023","-13 %","-11 %","0 %","-","-33 %","2813","2","-82 %","47","","4.2","kitchen_display_on_website","90 %","","3","39.50","6.14","73","yes","no","yes","1","0 %","","","3.03","15 %","7.50","2","49.99","49.00","-2 %","2","","","","","","","31.06","","87 %","","31.44","","","31.83","","","30.83","","","","","","31.05","","49.99","49.99","49.99","0 %","2","2","","1","2024/04/30","2024/03/04","Home & Garden","Vertical Steamers","Home & Garden › Home & Garden › Home & Kitchen › Kitchen & Home Appliances › Irons, Steamers & Accessories › Vertical Steamers","Kitchen","kitchen_display_on_website","8720389037603","","","STH3020/70","B0H5CSV372","GARMENT_STEAMER","Philips","PHILIPS","PHILIPS","Philips","STH3020/70","Style: Foldable - 120 ml Water Tank; Color: Dark Green;","Dark Green","Foldable - 120 ml Water Tank","1","count","","","","Foldable - 120 ml Water Tank","","","","","","Eliminate Odor, Remove Wrinkle, Fabric Refreshening, Sanitize","","","","","","1","","","","","2785","950","1","3438","950","","","","","","no","no","","no","no","no","no","no","","","no","-","","",""
"co.uk","https://m.media-amazon.com/images/I/71r3MEowsEL.jpg;https://m.media-amazon.com/images/I/61Hfw16RxQL.jpg;https://m.media-amazon.com/images/I/61cGbHUR8-L.jpg;https://m.media-amazon.com/images/I/516tWB81umL.jpg;https://m.media-amazon.com/images/I/61uxFOuMpQL.jpg;https://m.media-amazon.com/images/I/71nG8Mp9-eL.jpg","Philips LED Classic Light Bulb 6 Pack [GU10 Spot] 4.6 W - 50 W Equivalent, Warm White (2700K), Non Dimmable, Standard Range","B01KHILJ5O","1000","Amazon","2026/07/27 13:58","26 %","97 %","14.37","12.92","14.39","14.37","1000","90","# 6 | Top 0.01% | LED Bulbs","6 %","43","32","34","-11 %","-4 %","0 %","-","34 %","26996","2179","0 %","4027","","4.6","lighting_display_on_website","97 %","80","4","15.88","1.83","59","yes","no","yes","1000","0 %","15.63","9 %","2.69","13.04 %","1.87","8","12.50","18.55","33 %","7","","","","","","12.79","11.44","-12 %","0 %","12.79","11.47","-12 %","","10.64","","","","","","","","12.79","11.43","1 %","15.99","15.99","15.99","0 %","6","7","1","2","2016/10/10","2016/08/16","Lighting","LED Bulbs","Lighting › Light Bulbs › LED Bulbs","Lighting","lighting_display_on_website","8718696586013","08718696586013","","9290012152C","B0H1XYMKN3","LIGHT_BULB","Signify","PHILIPS","PHILIPS","Philips","9290012152C","Color: Warm White; Size: 6 Pack; Style: 50W classic;","Warm White","6 Pack","1","unidad","","","Non Dimmable","50W classic","Glass","","","","Indoor,Home,Lighting,Outdoor","","","","","","","1","","","2016-09-01","","1660","280","1","146","38","","","","","","no","no","","no","no","no","no","no","","","no","-","","",""
"co.uk","https://m.media-amazon.com/images/I/71HOPKFNIhL.jpg;https://m.media-amazon.com/images/I/61jakfmseVL.jpg;https://m.media-amazon.com/images/I/61RKfOZeavL.jpg;https://m.media-amazon.com/images/I/71Wi+SF3hEL.jpg","PHILIPS LED Classic Spot Light Bulb 2 Pack [Warm White 2700K - GU10] 50W, Non Dimmable. for Home Indoor Lighting, Value Range","B09ZBJPNK3","100","Amazon","2026/07/10 15:32","27 %","100 %","8.99","6.64","","8.99","1000","83","# 6 | Top 0.01% | LED Bulbs","92 %","44","32","404","-35 %","-13 %","0 %","-","26 %","2360","","-26 %","60","","4.6","lighting_display_on_website","100 %","1000","1","","1.55","54","yes","no","yes","1000","0 %","","","2.69","13.01 %","1.17","2","14.68","14.48","-1 %","2","","","","","","","","","100 %","","","","","","","","","","","","","","","","4.99","4.99","4.99","0 %","2","2","","","2022/09/12","2022/07/01","Lighting","LED Bulbs","Lighting › Light Bulbs › LED Bulbs","Home","home_display_on_website","8719514451636","","","929001215292","B0H1XYMKN3","LIGHT_BULB","Signify","PHILIPS","PHILIPS","Philips","LEDClassic 50W GU10 WW 36D ND 2CT/8 AM","Color: Value Warm White; Size: 2 Pack; Style: 50w;","Value Warm White","2 Pack","2","count","","","Non Dimmable","50w","Plastic","","","","House","","","","","","","2","","","2022-07-01","","297","90","1","135","50","","","","","","no","no","","no","no","no","no","no","","","no","-","","",""
"co.uk","https://m.media-amazon.com/images/I/71YPJ-wnnnL.jpg;https://m.media-amazon.com/images/I/6109x-ab12L.jpg;https://m.media-amazon.com/images/I/61QhnojUwVL.jpg;https://m.media-amazon.com/images/I/71rg124wH5L.jpg","Philips LED Classic Spot Light Bulb 3 Pack [Warm White 2700K - GU10] 35W, Non Dimmable. for Home Indoor Lighting","B09ZBKRTZM","50","Amazon","2026/07/27 15:00","27 %","100 %","9.29","8.41","","9.29","1000","97","# 6 | Top 0.01% | LED Bulbs","98 %","44","32","1299","-10 %","-9 %","0 %","-","0 %","2108","","","96","","4.6","lighting_display_on_website","100 %","1001","1","13.99","0.77","64","yes","no","yes","1000","0 %","13.99","","2.69","13.03 %","1.21","3","","15.45","","3","","","","","","","","","100 %","","","","","","","","","","","","","","","","5.49","5.49","5.49","0 %","3","3","","","2022/07/27","2022/07/01","Lighting","LED Bulbs","Lighting › Light Bulbs › LED Bulbs","Home","home_display_on_website","8719514455016","","","929001217893","B0H1XYMKN3","LIGHT_BULB","Signify","PHILIPS","PHILIPS","Philips","LEDClassic 35W GU10 WW 36D ND 3CT/6 AM","Color: Value Warm White; Size: 3 Pack; Style: 35w;","Value Warm White","3 Pack","3","count","","","Non Dimmable","35w","Plastic","","","","Lamp","","","","","","","3","","","2022-07-01","","640","140","1","135","50","","","","","","no","no","","no","no","no","no","no","","","no","-","","",""
"co.uk","https://m.media-amazon.com/images/I/71QTpjsixAL.jpg;https://m.media-amazon.com/images/I/613s0i5ywjL.jpg;https://m.media-amazon.com/images/I/61QhnojUwVL.jpg;https://m.media-amazon.com/images/I/71rg124wH5L.jpg","Philips LED Classic Spot Light Bulb 2 Pack [Warm White 2700K - GU10] 35W, Non Dimmable. for Home Indoor Lighting","B09ZBJ883F","","Amazon","2026/07/27 14:32","27 %","80 %","6.19","5.34","","6.19","1000","85","# 6 | Top 0.01% | LED Bulbs","98 %","44","32","1726","-16 %","-17 %","40 %","-","99 %","2110","","34 %","91","","4.6","lighting_display_on_website","80 %","1000","1","","0.81","58","yes","no","yes","1000","0 %","","","2.69","12.92 %","0.80","2","13.66","13.49","-1 %","2","","","","","","","","","100 %","","","","","","","","","","","","","","","","3.99","3.99","3.99","0 %","2","1","","","2022/07/24","2022/07/01","Lighting","LED Bulbs","Lighting › Light Bulbs › LED Bulbs","Home","home_display_on_website","8719514455030","","","929001217892","B0H1XYMKN3","LIGHT_BULB","Signify","PHILIPS","PHILIPS","Philips","LEDClassic 35W GU10 WW 36D ND 2CT/6 AM","Color: Value Warm White; Size: 2 Pack; Style: 35w;","Value Warm White","2 Pack","2","count","","","Non Dimmable","35w","Plastic","","","","Lamp","","","","","","","2","","","2022-07-01","","295","90","1","135","50","","","","","","no","no","","no","no","no","no","no","","","no","-","","",""
